locus_tag	ftype	length_bp	gene	EC_number	COG	product
PIDOOLCM_01025	CDS	1824	ycbB	2.-.-.-	COG2989	putative L,D-transpeptidase YcbB
PIDOOLCM_01026	CDS	552				hypothetical protein
PIDOOLCM_01027	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
PIDOOLCM_01028	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
PIDOOLCM_01029	CDS	1056	ompF			Outer membrane porin F
PIDOOLCM_01030	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
PIDOOLCM_01031	CDS	1203	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
PIDOOLCM_01032	CDS	2613	pepN	3.4.11.2	COG0308	Aminopeptidase N
PIDOOLCM_01033	CDS	771	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
PIDOOLCM_01034	CDS	792	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
PIDOOLCM_01035	CDS	1146	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
PIDOOLCM_01036	CDS	963	ssuA			Putative aliphatic sulfonates-binding protein
PIDOOLCM_01037	CDS	576	ssuE	1.5.1.38	COG0431	FMN reductase (NADPH)
PIDOOLCM_01038	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
PIDOOLCM_01039	CDS	543	zapC			Cell division protein ZapC
PIDOOLCM_01040	CDS	1110	ycbX		COG0633	putative protein YcbX
PIDOOLCM_01041	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
PIDOOLCM_01042	CDS	1908	uup		COG0488	ABC transporter ATP-binding protein uup
PIDOOLCM_01043	CDS	1254	pqiA		COG2995	Intermembrane transport protein PqiA
PIDOOLCM_01044	CDS	1641	pqiB		COG3008	Intermembrane transport protein PqiB
PIDOOLCM_01045	CDS	567	pqiC		COG3009	Intermembrane transport lipoprotein PqiC
PIDOOLCM_01046	CDS	519	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
PIDOOLCM_01047	CDS	1761				hypothetical protein
PIDOOLCM_01048	CDS	453	matP		COG3120	Macrodomain Ter protein
PIDOOLCM_01049	CDS	1053	ompA_2		COG2885	Outer membrane protein A
PIDOOLCM_01050	CDS	564	sulA		COG5404	Cell division inhibitor SulA
PIDOOLCM_01051	CDS	627	sxy		COG3070	Protein Sxy
PIDOOLCM_01052	CDS	2163	yccS		COG1289	Inner membrane protein YccS
PIDOOLCM_01053	CDS	447	yccF		COG3304	Inner membrane protein YccF
PIDOOLCM_01054	CDS	2055	helD	3.6.4.12	COG0210	DNA helicase IV
PIDOOLCM_01055	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
PIDOOLCM_01056	CDS	663				hypothetical protein
PIDOOLCM_01057	CDS	417	yccU		COG1832	putative protein YccU
PIDOOLCM_01058	CDS	318	hspQ		COG3785	Heat shock protein HspQ
PIDOOLCM_01059	CDS	1191	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
PIDOOLCM_01060	CDS	558				hypothetical protein
PIDOOLCM_01061	CDS	789	rhaS_2			HTH-type transcriptional activator RhaS
PIDOOLCM_01062	CDS	282	yccX	3.6.1.7	COG1254	Acylphosphatase
PIDOOLCM_01063	CDS	336	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
PIDOOLCM_01064	CDS	660	yccA		COG0670	Modulator of FtsH protease YccA
PIDOOLCM_01065	CDS	1629	oppA_1		COG4166	Periplasmic oligopeptide-binding protein
PIDOOLCM_01066	tRNA	88				tRNA-Ser(tga)
PIDOOLCM_01067	tRNA	88				tRNA-Ser(tga)
PIDOOLCM_01068	CDS	867	rhaR_2			HTH-type transcriptional activator RhaR
PIDOOLCM_01069	CDS	1854				hypothetical protein
PIDOOLCM_01070	CDS	1281	rafB			Raffinose permease
PIDOOLCM_01071	CDS	1191	ugl	3.2.1.180		Unsaturated chondroitin disaccharide hydrolase
PIDOOLCM_01072	CDS	576	yajL_2	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
PIDOOLCM_01073	CDS	942	pobB	1.-.-.-		Phenoxybenzoate dioxygenase subunit beta
PIDOOLCM_01074	CDS	1035	ndmA	1.14.13.178		Methylxanthine N1-demethylase NdmA
PIDOOLCM_01075	CDS	1155	hpxO	1.14.13.113	COG0654	FAD-dependent urate hydroxylase
PIDOOLCM_01076	CDS	501	pucL		COG3195	Uric acid degradation bifunctional protein PucL
PIDOOLCM_01077	CDS	324	hiuH_1	3.5.2.17		5-hydroxyisourate hydrolase
PIDOOLCM_01078	CDS	1317	guaD_2	3.5.4.3	COG0402	Guanine deaminase
PIDOOLCM_01079	CDS	1509	pucI		COG1953	putative allantoin permease
PIDOOLCM_01080	CDS	717				hypothetical protein
PIDOOLCM_01081	CDS	744	hyuA	5.1.99.5	COG4126	Hydantoin racemase
PIDOOLCM_01082	CDS	933				hypothetical protein
PIDOOLCM_01083	CDS	390				hypothetical protein
PIDOOLCM_01084	CDS	1398	atzE	3.5.1.131		1-carboxybiuret hydrolase subunit AtzE
PIDOOLCM_01085	CDS	189				hypothetical protein
PIDOOLCM_01086	CDS	1584	hpxW	3.5.1.126	COG0405	Oxamate amidohydrolase proenzyme
PIDOOLCM_01087	CDS	840				hypothetical protein
PIDOOLCM_01088	CDS	783	fliY_1		COG0834	L-cystine-binding protein FliY
PIDOOLCM_01089	CDS	666	glnM		COG0765	putative glutamine ABC transporter permease protein GlnM
PIDOOLCM_01090	CDS	678	yecS_1		COG0765	L-cystine transport system permease protein YecS
PIDOOLCM_01091	CDS	738	glnQ_4			Glutamine transport ATP-binding protein GlnQ
PIDOOLCM_01092	CDS	1242	pucG	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
PIDOOLCM_01093	CDS	1239	amaB	3.5.1.87		N-carbamoyl-L-amino acid hydrolase
PIDOOLCM_01094	CDS	1116	malK_1	7.5.2.1	COG3839	Maltose/maltodextrin import ATP-binding protein MalK
PIDOOLCM_01095	CDS	1227	cycB		COG2182	Cyclodextrin-binding protein
PIDOOLCM_01096	CDS	1305				hypothetical protein
PIDOOLCM_01097	CDS	852	araQ		COG0395	L-arabinose transport system permease protein AraQ
PIDOOLCM_01098	CDS	1203	ganB	3.2.1.89	COG3867	Arabinogalactan endo-beta-1,4-galactanase
PIDOOLCM_01099	CDS	2058	bglY	3.2.1.23	COG1874	Beta-galactosidase BglY
PIDOOLCM_01100	CDS	243	ptsG_2		COG1263	PTS system glucose-specific EIICB component
PIDOOLCM_01101	CDS	1266	lamB_1		COG4580	Maltoporin
PIDOOLCM_01102	CDS	1077	lacI_2		COG1609	Lactose operon repressor
PIDOOLCM_01103	CDS	1002			COG2239	Magnesium transporter MgtE
PIDOOLCM_01104	CDS	504	yqjA_1		COG0586	Inner membrane protein YqjA
PIDOOLCM_01105	CDS	750	cpnA	1.1.1.163		Cyclopentanol dehydrogenase
PIDOOLCM_01106	CDS	360	yybR		COG1733	putative HTH-type transcriptional regulator YybR
PIDOOLCM_01107	CDS	795				hypothetical protein
PIDOOLCM_01108	CDS	444				hypothetical protein
PIDOOLCM_01109	CDS	1242	agp	3.1.3.10		Glucose-1-phosphatase
PIDOOLCM_01110	CDS	228	yccJ			putative protein YccJ
PIDOOLCM_01111	CDS	597	wrbA	1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
PIDOOLCM_01112	CDS	171				hypothetical protein
PIDOOLCM_01113	CDS	882				hypothetical protein
PIDOOLCM_01114	CDS	1329	rutG		COG2233	Putative pyrimidine permease RutG
PIDOOLCM_01115	CDS	495	rutF	1.5.1.42	COG1853	FMN reductase (NADH) RutF
PIDOOLCM_01116	CDS	591	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
PIDOOLCM_01117	CDS	801	rutD_1	3.5.1.-		Putative aminoacrylate hydrolase RutD
PIDOOLCM_01118	CDS	387	rutC	1.-.-.-	COG0251	Putative aminoacrylate peracid reductase RutC
PIDOOLCM_01119	CDS	690	rutB_2	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
PIDOOLCM_01120	CDS	1092	rutA	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
PIDOOLCM_01121	CDS	699	rutR		COG1309	HTH-type transcriptional regulator RutR
PIDOOLCM_01122	CDS	393				hypothetical protein
PIDOOLCM_01123	CDS	3963	putA		COG0506	Bifunctional protein PutA
PIDOOLCM_01124	CDS	1509	putP		COG0591	Sodium/proline symporter
PIDOOLCM_01125	CDS	420				hypothetical protein
PIDOOLCM_01126	CDS	1185	nupC_1		COG1972	Nucleoside permease NupC
PIDOOLCM_01127	CDS	834	efeU		COG0672	Ferrous iron permease EfeU
PIDOOLCM_01128	CDS	1128	efeO		COG2822	Iron uptake system component EfeO
PIDOOLCM_01129	CDS	1284	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
PIDOOLCM_01130	CDS	117				hypothetical protein
PIDOOLCM_01131	CDS	792	phoH		COG1702	Protein PhoH
PIDOOLCM_01132	CDS	1506	acp			Sodium/proton-dependent alanine carrier protein
PIDOOLCM_01133	tRNA	88				tRNA-Ser(gga)
PIDOOLCM_01134	CDS	678	ycaC_1	4.-.-.-	COG1335	putative hydrolase YcaC
PIDOOLCM_01135	CDS	861				hypothetical protein
PIDOOLCM_01136	CDS	906	dmlR_1			HTH-type transcriptional regulator DmlR
PIDOOLCM_01137	tRNA	88				tRNA-Ser(gga)
PIDOOLCM_01138	CDS	939	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
PIDOOLCM_01139	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
PIDOOLCM_01140	CDS	555	ycdY		COG3381	Chaperone protein YcdY
PIDOOLCM_01141	CDS	492	ycdZ			Inner membrane protein YcdZ
PIDOOLCM_01142	CDS	834	csgG		COG1462	Curli production assembly/transport component CsgG
PIDOOLCM_01143	CDS	414	csgF			Curli production assembly/transport component CsgF
PIDOOLCM_01144	CDS	390	csgE			Curli production assembly/transport component CsgE
PIDOOLCM_01145	CDS	651	csgD		COG2771	CsgBAC operon transcriptional regulatory protein
PIDOOLCM_01146	CDS	456	csgB			Minor curlin subunit
PIDOOLCM_01147	CDS	456	csgA			Major curlin subunit
PIDOOLCM_01148	CDS	333	csgC			Curli assembly protein CsgC
PIDOOLCM_01149	CDS	321	ymdA			putative protein YmdA
PIDOOLCM_01150	CDS	543	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
PIDOOLCM_01151	CDS	1140	mdoC	2.1.-.-		Glucans biosynthesis protein C
PIDOOLCM_01152	CDS	1602	mdoG		COG3131	Glucans biosynthesis protein G
PIDOOLCM_01153	CDS	2529	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
PIDOOLCM_01154	CDS	228				hypothetical protein
PIDOOLCM_01155	CDS	375				hypothetical protein
PIDOOLCM_01156	CDS	1218	sbnD_2			Staphyloferrin B transporter
PIDOOLCM_01157	CDS	927	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
PIDOOLCM_01158	CDS	1050				hypothetical protein
PIDOOLCM_01159	CDS	579	yceI_1		COG2353	Protein YceI
PIDOOLCM_01160	CDS	579	yceJ_2		COG3038	Cytochrome b561 
PIDOOLCM_01161	CDS	1119	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
PIDOOLCM_01162	CDS	255	bssS			Biofilm regulator BssS
PIDOOLCM_01163	CDS	246	dinI			DNA damage-inducible protein I
PIDOOLCM_01164	CDS	1047	pyrC	3.5.2.3	COG0418	Dihydroorotase
PIDOOLCM_01165	CDS	561	yceB			putative lipoprotein YceB
PIDOOLCM_01166	CDS	1209	mdtH_1			Multidrug resistance protein MdtH
PIDOOLCM_01167	CDS	585	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
PIDOOLCM_01168	CDS	642				hypothetical protein
PIDOOLCM_01169	CDS	924	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
PIDOOLCM_01170	CDS	1536	murJ		COG0728	putative lipid II flippase MurJ
PIDOOLCM_01171	CDS	426	flgN_1		COG3418	Flagella synthesis protein FlgN
PIDOOLCM_01172	CDS	294	flgM		COG2747	Negative regulator of flagellin synthesis
PIDOOLCM_01173	CDS	660	flgA_1		COG1261	Flagella basal body P-ring formation protein FlgA
PIDOOLCM_01174	CDS	420	flgB_1		COG1815	Flagellar basal body rod protein FlgB
PIDOOLCM_01175	CDS	405	flgC_1		COG1558	Flagellar basal-body rod protein FlgC
PIDOOLCM_01176	CDS	711	flgD_1		COG1843	Basal-body rod modification protein FlgD
PIDOOLCM_01177	CDS	1209	flgE_1		COG1749	Flagellar hook protein FlgE
PIDOOLCM_01178	CDS	756	flgF_1		COG4787	Flagellar basal-body rod protein FlgF
PIDOOLCM_01179	CDS	783	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
PIDOOLCM_01180	CDS	699	flgH_1			Flagellar L-ring protein
PIDOOLCM_01181	CDS	1098	flgI_1			Flagellar P-ring protein
PIDOOLCM_01182	CDS	954	flgJ_1	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
PIDOOLCM_01183	CDS	1638	flgK_1		COG1256	Flagellar hook-associated protein 1
PIDOOLCM_01184	CDS	954	flgL_1		COG1344	Flagellar hook-associated protein 3
PIDOOLCM_01185	CDS	1215	sotB_1			sugar efflux transporter
PIDOOLCM_01186	CDS	900	dmlR_2			HTH-type transcriptional regulator DmlR
PIDOOLCM_01187	CDS	3120	rne	3.1.26.12	COG1530	Ribonuclease E
PIDOOLCM_01188	CDS	921	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
PIDOOLCM_01189	CDS	585	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
PIDOOLCM_01190	CDS	522	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
PIDOOLCM_01191	CDS	174	rpmF		COG0333	50S ribosomal protein L32
PIDOOLCM_01192	CDS	1005	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
PIDOOLCM_01193	CDS	954	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
PIDOOLCM_01194	CDS	930	fabD_1	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
PIDOOLCM_01195	CDS	735	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PIDOOLCM_01196	CDS	237	acpP_1			Acyl carrier protein
PIDOOLCM_01197	CDS	1242	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
PIDOOLCM_01198	CDS	810	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
PIDOOLCM_01199	CDS	1023	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
PIDOOLCM_01200	CDS	642	tmk	2.7.4.9	COG0125	Thymidylate kinase
PIDOOLCM_01201	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
PIDOOLCM_01202	CDS	795	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
PIDOOLCM_01203	CDS	1434	ptsG_3		COG1263	PTS system glucose-specific EIICB component
PIDOOLCM_01204	CDS	2193	fhuE		COG4773	FhuE receptor
PIDOOLCM_01205	CDS	360	hinT	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
PIDOOLCM_01206	CDS	375				hypothetical protein
PIDOOLCM_01207	CDS	648	lpoB		COG3417	Penicillin-binding protein activator LpoB
PIDOOLCM_01208	CDS	825	thiK	2.7.1.89	COG0510	Thiamine kinase
PIDOOLCM_01209	CDS	1026	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
PIDOOLCM_01210	CDS	543				hypothetical protein
PIDOOLCM_01211	CDS	1305	ndh	1.6.99.3	COG1252	NADH dehydrogenase
PIDOOLCM_01212	CDS	540				hypothetical protein
PIDOOLCM_01213	CDS	642	comR_1			HTH-type transcriptional repressor ComR
PIDOOLCM_01214	CDS	258	bhsA_1			Multiple stress resistance protein BhsA
PIDOOLCM_01215	CDS	966	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
PIDOOLCM_01216	CDS	3447	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
PIDOOLCM_01217	CDS	1074	ycfT		COG4763	Inner membrane protein YcfT
PIDOOLCM_01218	CDS	1161	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
PIDOOLCM_01219	CDS	702	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
PIDOOLCM_01220	CDS	1245	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
PIDOOLCM_01221	CDS	912	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
PIDOOLCM_01222	CDS	822	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
PIDOOLCM_01223	CDS	1230	cdgJ	3.1.4.52	COG3434	Cyclic di-GMP phosphodiesterase CdgJ
PIDOOLCM_01224	CDS	1035	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
PIDOOLCM_01225	CDS	792	ydcV_2			Inner membrane ABC transporter permease protein YdcV
PIDOOLCM_01226	CDS	858	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
PIDOOLCM_01227	CDS	1086	potA_2	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
PIDOOLCM_01228	CDS	1224	pepT_1	3.4.11.4	COG2195	Peptidase T
PIDOOLCM_01229	CDS	1122	roxA_2	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
PIDOOLCM_01230	CDS	1464	phoQ	2.7.13.3	COG0642	Virulence sensor histidine kinase PhoQ
PIDOOLCM_01231	CDS	672	phoP_1			Transcriptional regulatory protein PhoP
PIDOOLCM_01232	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
PIDOOLCM_01233	CDS	630	hflD		COG2915	High frequency lysogenization protein HflD
PIDOOLCM_01234	CDS	1170	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
PIDOOLCM_01235	CDS	474	nudJ	3.6.1.-	COG0494	Phosphatase NudJ
PIDOOLCM_01236	CDS	654	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
PIDOOLCM_01237	CDS	1251	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
PIDOOLCM_01238	CDS	483	ompX_2		COG3637	Outer membrane protein X
PIDOOLCM_01239	CDS	537				hypothetical protein
PIDOOLCM_01240	CDS	600	iprA_3			Inhibitor of hydrogen peroxide resistance
PIDOOLCM_01241	CDS	1302				hypothetical protein
PIDOOLCM_01242	CDS	309				hypothetical protein
PIDOOLCM_01243	CDS	636	azoR1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase 1
PIDOOLCM_01244	CDS	780				hypothetical protein
PIDOOLCM_01245	CDS	1095	rhaS_3			HTH-type transcriptional activator RhaS
PIDOOLCM_01246	CDS	636	todT			Response regulator protein TodT
PIDOOLCM_01247	CDS	1998			COG1292	Glycine betaine transporter
PIDOOLCM_01248	CDS	348				hypothetical protein
PIDOOLCM_01249	CDS	246				hypothetical protein
PIDOOLCM_01250	CDS	696				hypothetical protein
PIDOOLCM_01251	CDS	1512				hypothetical protein
PIDOOLCM_01252	CDS	1485				hypothetical protein
PIDOOLCM_01253	CDS	249				hypothetical protein
PIDOOLCM_01254	CDS	1071	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
PIDOOLCM_01255	CDS	255				hypothetical protein
PIDOOLCM_01256	CDS	306				hypothetical protein
PIDOOLCM_01257	CDS	348				hypothetical protein
PIDOOLCM_01258	CDS	708	pyrG_1	6.3.4.2		CTP synthase
PIDOOLCM_01259	CDS	1176	nimT		COG2807	2-nitroimidazole transporter
PIDOOLCM_01260	CDS	792	nimR_2			HTH-type transcriptional regulator NimR
PIDOOLCM_01261	CDS	447				hypothetical protein
PIDOOLCM_01262	CDS	105				hypothetical protein
PIDOOLCM_01263	CDS	501				hypothetical protein
PIDOOLCM_01264	CDS	1284				hypothetical protein
PIDOOLCM_01265	CDS	1935				hypothetical protein
PIDOOLCM_01266	CDS	747	mipA_1		COG3713	MltA-interacting protein
PIDOOLCM_01267	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
PIDOOLCM_01268	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
PIDOOLCM_01269	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
PIDOOLCM_01270	CDS	279				hypothetical protein
PIDOOLCM_01271	CDS	1257	chiA1	3.2.1.14		Chitinase A1
PIDOOLCM_01272	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
PIDOOLCM_01273	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
PIDOOLCM_01274	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
PIDOOLCM_01275	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
PIDOOLCM_01276	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
PIDOOLCM_01277	CDS	1908	topB	5.6.2.1	COG0550	DNA topoisomerase 3
PIDOOLCM_01278	CDS	1344	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
PIDOOLCM_01279	CDS	273				hypothetical protein
PIDOOLCM_01280	CDS	417	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
PIDOOLCM_01281	CDS	570				hypothetical protein
PIDOOLCM_01282	CDS	618	ynjF		COG0558	Inner membrane protein YnjF
PIDOOLCM_01283	CDS	1308	ynjE	2.8.1.1	COG2897	Thiosulfate sulfurtransferase YnjE
PIDOOLCM_01284	CDS	621	thiQ_2	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
PIDOOLCM_01285	CDS	1530	ynjC		COG4135	Inner membrane ABC transporter permease protein YnjC
PIDOOLCM_01286	CDS	1170	ynjB		COG4134	Protein YnjB
PIDOOLCM_01287	CDS	684				hypothetical protein
PIDOOLCM_01288	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
PIDOOLCM_01289	CDS	1221	astC	2.6.1.81	COG4992	Succinylornithine transaminase
PIDOOLCM_01290	CDS	1035	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase
PIDOOLCM_01291	CDS	1488	astD	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
PIDOOLCM_01292	CDS	1326	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
PIDOOLCM_01293	CDS	966	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
PIDOOLCM_01294	CDS	492	spy		COG3678	Periplasmic chaperone Spy
PIDOOLCM_01295	CDS	558	ves		COG3758	Protein Ves
PIDOOLCM_01296	CDS	879	cho	3.1.25.-	COG0322	Excinuclease cho
PIDOOLCM_01297	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
PIDOOLCM_01298	CDS	345	osmE			Osmotically-inducible putative lipoprotein OsmE
PIDOOLCM_01299	CDS	318	chbB	2.7.1.196	COG1440	PTS system N,N'-diacetylchitobiose-specific EIIB component
PIDOOLCM_01300	CDS	1359	chbC		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
PIDOOLCM_01301	CDS	348	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
PIDOOLCM_01302	CDS	819	chbR			HTH-type transcriptional regulator ChbR
PIDOOLCM_01303	CDS	1356	chbF	3.2.1.86	COG1486	6-phospho-beta-glucosidase
PIDOOLCM_01304	CDS	750	chbG	3.5.1.105	COG3394	Chitooligosaccharide deacetylase ChbG
PIDOOLCM_01305	CDS	2250	katE	1.11.1.6	COG0753	Catalase HPII
PIDOOLCM_01306	CDS	240	cedA			Cell division activator CedA
PIDOOLCM_01307	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
PIDOOLCM_01308	CDS	591	ydjM		COG1988	Inner membrane protein YdjM
PIDOOLCM_01309	CDS	762	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
PIDOOLCM_01310	CDS	672	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
PIDOOLCM_01311	CDS	537				hypothetical protein
PIDOOLCM_01312	CDS	861		2.7.1.-		putative ketoamine kinase
PIDOOLCM_01313	CDS	291				hypothetical protein
PIDOOLCM_01314	CDS	933	pfkB	2.7.1.11	COG1105	ATP-dependent 6-phosphofructokinase isozyme 2
PIDOOLCM_01315	CDS	825				hypothetical protein
PIDOOLCM_01316	CDS	210				hypothetical protein
PIDOOLCM_01317	CDS	108	yniD			putative protein YniD
PIDOOLCM_01318	CDS	1929	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
PIDOOLCM_01319	CDS	342	infC		COG0290	Translation initiation factor IF-3
PIDOOLCM_01320	CDS	198	rpmI		COG0291	50S ribosomal protein L35
PIDOOLCM_01321	CDS	357	rplT		COG0292	50S ribosomal protein L20
PIDOOLCM_01322	CDS	984	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
PIDOOLCM_01323	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
PIDOOLCM_01324	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
PIDOOLCM_01325	CDS	981	btuC		COG4139	Vitamin B12 import system permease protein BtuC
PIDOOLCM_01326	CDS	552	btuE	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
PIDOOLCM_01327	CDS	756	btuD_3	7.6.2.8	COG4138	Vitamin B12 import ATP-binding protein BtuD
PIDOOLCM_01328	CDS	465	mepS_1	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
PIDOOLCM_01329	CDS	711	ydiV		COG2200	Anti-FlhC(2)FlhD(4) factor YdiV
PIDOOLCM_01330	CDS	1443	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
PIDOOLCM_01331	CDS	771	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
PIDOOLCM_01332	CDS	1392				hypothetical protein
PIDOOLCM_01333	CDS	1182	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
PIDOOLCM_01334	CDS	657	scoB	2.8.3.5	COG2057	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit B
PIDOOLCM_01335	CDS	708	scoA	2.8.3.5	COG1788	putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A
PIDOOLCM_01336	CDS	924	gltC_2			HTH-type transcriptional regulator GltC
PIDOOLCM_01337	CDS	780	hmuV	3.6.3.-	COG4559	Hemin import ATP-binding protein HmuV
PIDOOLCM_01338	CDS	993	hmuU		COG0609	Hemin transport system permease protein HmuU
PIDOOLCM_01339	CDS	822	hmuT		COG4558	Hemin-binding periplasmic protein HmuT
PIDOOLCM_01340	CDS	1029	hemS		COG3720	Hemin transport protein HemS
PIDOOLCM_01341	CDS	1986	hemR		COG1629	Hemin receptor
PIDOOLCM_01342	CDS	183	ydiE		COG4256	putative protein YdiE
PIDOOLCM_01343	CDS	1047	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
PIDOOLCM_01344	CDS	834	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
